Command: ./simv +fsdbfile+test.fsdb +ntb_random_seed=11 -l run1.log
Chronologic VCS simulator copyright 1991-2016
Contains Synopsys proprietary information.
Compiler version L-2016.06; Runtime version L-2016.06;  Oct 10 15:45 2017
addr = 2195412025, data = 4290981253, rw = READ
addr = 3584773519, data = 3024603021, rw = READ
addr = 3901230883, data = 2667959251, rw = READ
addr = 3628177294, data = 2733476907, rw = WRITE
addr = 2326201801, data =  260024703, rw = READ
addr = 1469686538, data = 1445752513, rw = WRITE
addr = 3985309566, data = 3993379663, rw = READ
addr = 1564447415, data = 2373161660, rw = READ
addr = 1416400757, data =  995002794, rw = READ
addr = 2289472064, data = 2052952231, rw = WRITE
addr = 1772944598, data = 4197774983, rw = READ
addr = 3051585067, data =  371909846, rw = WRITE
addr =  106882600, data = 1760718834, rw = READ
addr =  486030408, data = 1905063989, rw = WRITE
addr = 4002553436, data =  353898078, rw = READ
addr = 3639614125, data = 2507047770, rw = READ
addr = 3316546304, data = 2286697221, rw = WRITE
addr = 1732229558, data = 2113717100, rw = READ
addr =  950317976, data = 3829777598, rw = WRITE
addr = 3980893669, data = 2189189646, rw = READ
addr = 2131512361, data = 2843495300, rw = WRITE
addr = 3723096416, data = 3899938852, rw = READ
addr =  238193999, data = 3272767844, rw = WRITE
addr = 1742635720, data =  110458936, rw = READ
addr =  559953459, data = 2783525162, rw = READ
addr = 1661151863, data = 1049333480, rw = READ
addr = 1107219269, data = 3666708820, rw = WRITE
addr = 3656407457, data =   65986081, rw = READ
addr =  456774844, data = 1775160092, rw = WRITE
addr = 2470782550, data = 1213571396, rw = READ
addr = 3483382751, data = 2258606358, rw = READ
addr = 2268476322, data = 1350231696, rw = WRITE
addr =   89569627, data =  216959425, rw = READ
addr = 2253077356, data = 3223801582, rw = WRITE
addr =  959796315, data = 3004005434, rw = READ
addr = 1858136322, data = 1933195860, rw = READ
addr = 1255917296, data = 4248879608, rw = WRITE
addr = 3497307374, data = 4084614968, rw = READ
addr = 4040605301, data =  983384175, rw = READ
addr =  554376335, data = 2274707221, rw = WRITE
addr = 1663080754, data =  975017218, rw = READ
addr = 3301403377, data =   46500925, rw = WRITE
addr = 1892396441, data =  193421889, rw = READ
addr =  891225820, data = 2972673023, rw = WRITE
addr = 2866893551, data = 1737016655, rw = READ
addr = 4243732446, data = 1430215437, rw = WRITE
addr = 1028693783, data = 1314097840, rw = READ
addr = 3310464733, data = 3232998304, rw = READ
addr = 4218124467, data = 2846086485, rw = WRITE
addr = 4057588701, data = 2056848287, rw = READ
$finish at simulation time                    0
           V C S   S i m u l a t i o n   R e p o r t 
Time: 0
CPU Time:      0.350 seconds;       Data structure size:   0.0Mb
Tue Oct 10 15:45:36 2017
